Chianti, Italy, Tuscany
Morellino di Scansano, Italy, Tuscany
Maremma, Italy, Tuscany
Montalcino, Italy, Tuscany
Chianti Classico, Italy, Tuscany
Montecucco, Italy, Tuscany
Monteregio di Massa Marittima, Italy, Tuscany
Valdarno di Sopra, Italy, Tuscany
Candia Colli Apuani, Italy, Tuscany
Bolgheri, Italy, Tuscany
Val di Cornia, Italy, Tuscany
Carmignano, Italy, Tuscany
Montescudaio, Italy, Tuscany
Colline Lucchesi, Italy, Tuscany
Bacchereto - Prato, Italy, Tuscany
Toscana, Italy, Tuscany
Vino Nobile di Montepulciano, Italy, Tuscany
Cortona, Italy, Tuscany
San Gimignano, Italy, Tuscany
Montepulciano, Italy, Tuscany
Valdichiana, Italy, Tuscany
